Name,Stand,Description,Address,Website
Acarsan Makarna Un Gida Insaat San. Ve Tic. A.S.,Hall: Za'abeel Hall 5 Stand: Z5-B51,"Acarsan Pasta Flour Food Construction Industry and Trade. Inc. was established in 1997 by Selim Acar and started its commercial life. Having one of the largest and most modern production facilities in Turkey, Acarsan Makarna Un Gida Insaat Sanayi ve Tic. Inc. started its operations in 2003 with a daily flour production with a capacity of 600 tons. In addition to the current capacity, in 2014. It reached a total capacity of 1850 tons per day, including 400 tons of pasta per day, 700 tons of semolina and 150 tons of instant noodle in 2016.","3. Organize Sanayi Bolgesi ,Kamil Serbetci Bulvari No: 44 Baspinar Sehitkamil Gaziantep ,Gaziantep ,Turkey ",https://www.acarsan.com.tr
Acetificio Marcello De Nigris,Hall: Shk Saeed Hall 1 Stand: S1-F34,"For over three generations our family has dedicated itself to the production of vinegar with passion and knowledge, in the tireless search for the best possible quality product. A story which began more than 120 years ago, when Armando De Nigris opened the first vinegar mill in Naples, immediately proving to be a great success with his clients. From passionate artisans to an international organisation, our company has always looked to the future, staying true to the family motto: “Boundaries do not exist”. From the lands of the Emilia-Romagna region to overseas markets, Balsamic Vinegar of Modena has taken its place as the Italian condiment par excellence. This success was consolidated over the years to follow, when the running of the company passed to his son Marcello, who succeeded in launching De Nigris’s products onto the international market and in widening the product range to include the prestigious Balsamic vinegar. A spirit of innovation that, thanks to the third generation of Master Vinegar Makers, still guides us today and allows us to offer our clients products of excellence, which are appreciated world-wide for their quality and creativity.","S.S. Sannitica. 87 ,Caivano ,Na ,80023 ,Italy ",https://www.denigris1889.com/en/
Acetaia Leonardi,Hall: Shk Saeed Hall 1 Stand: S1-F31,"Leonardi is the Italian leader for traditional Balsamic Vinegar of Modena. It is all natural, preservative free, colouring free, alcohol free. A sweet-and-sour condiment of high quality with a refined packaging and many available flavours made from our own grapes. Everything is produced under the same facility, following traditional methods handed down for four generations by Leonardi family. The complete range includes Balsamic Vinegar of Modena IGP, Traditional Balsamic Vinegar of Modena DOP, Balsamic condiments (also flavoured), glazes and jams with Balsamic Vinegar, chocolates and cakes with Balsamic glaze and the stunning Balsamic PEARLS. To be enjoyed on salads, vegetables, seafood, cheeses, strawberries, ice-cream or for precious gifs... Leonardi also produces a high-quality Extra Virgin Olive oil to pair with his Balsamic Condiments, obtained from owned olive trees in Sicily. Private labels and Food service sizes available. BRC- IFS certified. SINCE 2018 a complete ORGANIC CERTIFIED RANGE is available. Acetaia Leonardi, artisan balsamic maker since 1871 welcomes you at Gulfood 2023 to taste our classics and new creations.","ACETAIA LEONARDI SRL ,Via Mazzacavallo 62 ,Formigine ,Modena ,41043 ,Italy ",http://www.acetaialeonardi.it
Acetificio Andrea Milano,Hall: Shk Saeed Hall 1 Stand: S1-E29,"The company “Acetificio Andrea Milano s.r.l.” was founded in 1889 and it is one of the main and oldest vinegar manufacturers. Since 1889, the vinegar factory Andrea Milano has refined the techniques of production without ever losing sight of the great Italian wine tradition. The first beech chipboard barrels have been replaced by modern acetifying machines, but nothing of the heritage of tradition and experience, matured over the last 100 years, had been sacrificed. Today the company has 3 production plants in Italy and exports its products in more than 65 countries worldwide.","Corso Protopisani, 91 ,Italy ",https://www.acetomilano.it/
Acqua Minerale San Benedetto S.p.A.,Hall: Za'abeel Hall 1 Stand: Z2-D89,"SAN BENEDETTO MINERAL WATER– FROM THE ROOTS TO THE SPRING. The story of Acqua Minerale San Benedetto begins on 10 April 1956 when, in the heart of the Park of the River Sile, the first facility of the Group was set up for bottling the mineral waters of Scorzè in the province of Venice: Fonte San Benedetto and Fonte Guizza. The company takes its name from the spring of the same name, which has been known since the times of the Venetian Republic as an ‘Ancient Spring of Health’, its waters much sought-after by Venetian families for its healing properties. San Benedetto soon grew from a small local producer into a company with a nationwide scope operating the length and breadth of Italy, with strong interests also beyond its national borders. Today, it is an ‘all embracing’ group with multiple specialisations and channels, that operates successfully in all segments of non-alcoholic beverages. The company has always upheld its verve for innovation, technology and service, product and process, thanks to which it has achieved leadership not only in numbers, but also in its ideas and their applications, which succeed in meeting the real needs of consumers. San Benedetto Group is the leading Italian-owned company in the market and it is active in over 100 Countries.","Acqua Minerale San Benedetto S.p.A. ,Viale Kennedy, 65 ,Scorzè ,Venice ,30037 ,Italy ",https://www.sanbenedettofoodexcellence.com/en
Adalilar Kuruyemis Gida Tic Ve San Ltd Sti,Hall: Za'abeel Hall 4 Stand: Z4-B3,"Adalilar,founded in 1992,is a strong manufacturer of the EDIBLE NUTS such as sunflower seeds,hazelnut,pistachio,peanut etc. We are the pioneers in the improvement of the packet fresh nuts culturein Turkey and in the World through our experienced staff. We offer our quality products processed by high technology,filled with fresh and tasty ‘grains’,with our fabulos brands TANEM, FREEZO, ADAMIX, and some other Private Label Brands.With each brand, we provide special tastes solutions to meet different expectations. Our company produces daily around 800.000 packs in its manufacturing facility in Sakarya-TURKEY. We offer our products in a wide sales network,which goes over the Turkish market,reaching foreign markets from Africa to the Balkans and from Europe to Far East.For the purpose of processing natural edible nuts used in production to make it ready for end consumers,we established our new production facility on a total closed area of 6.000 square meters in 2012 with high technology,we suport our success and Works with high technology machinery line and certificates such as ISO 9001, ISO 22000(HACCP), which have validity on international platforms,with the new production facility we reached to our main aim that is “hygiene”, as a policy the production and the packaging are must be carried out untouched and under strictly hygienic conditions. With this new facility ADALILAR is aiming to transform its existing industrial know-how into future investments and is a candidate of becoming one of the most advanced facility of Turkey in the industry.We belive that the excitement which started with te first “ADALILAR/TANEM” branded retail shops launched in begining of 1997 in Sakarya will merge with the new production and inevestment areas to carry us to new successess.","Kozluk Mah Ada San Cad No 4 Erenler Sakarya Kozluk ,Turkey ",http://www.adalilar.com
Aedi S.r.l. - Riso Morgante,Hall: Za'abeel Hall 1 Stand: Z4-G15,"AEDI’ SRL - Riso Morgante is a family run rice mill established in Lenta, Italy over 60 years ago. We are specialists in the milling of various types of rice such as Baldo, Loto, S. Andrea, Arborio to mention only some. We provide various types of packaging ranging from 1 kg to 25 kg bags and big bags. Our certification includes HACCP, AEOF HALAL.","Via Ghislarengo, 19 ,LENTA ,VERCELLI ,13035 ,Italy ",https://www.risomorgante.com
Adroit Overseas Enterprises Ltd,Hall: Za'abeel Hall 4 Stand: Z4-H33,"Adroit Overseas is a multinational agro commodities processor, trader, exporter, dealing in all type of pulses, grains, oilseeds and feed products worldwide. Together with our suppliers and buyers, we source products from farmers, processors, local suppliers, we market & deliver commodities physically to our buyers, importers, processors, wholesalers and retailers all around the world. Being active at every stage of supply chain from local procurement, extensive logistics, export operations to deliver, import, storage and distribution, we maximize value for our trade partners. Strategically placed in every continent from North to South America, going east to Asia covering Middle East and Africa and Indian subcontinent. We get huge benefits and arbitrage opportunities which help us serve our customers by offer highly competitive prices along with variety of products from different origins.","Unit 210, 9639 137A Street ,vancouver ,canada ,V3T 0M1 ,Canada ",https://www.adroitoverseas.com
Adnan Khudari & Sons trading Co.,Hall: Shk Rashid Hall Stand: R-145,"Family-owned food manufacturing and packaging company based in Jordan Founded in 1979, run by the 3rd generation, generating income for over 130 Jordanian families We have 30+ years’ experience in exporting white label products, reaching 45 countries worldwide, the USA being our #1 export market, adding value to 18 different brands in the USA alone Market leader in our categories in Jordan, the first company to introduce spices in retail packages in Jordan Producing a wide range of food products in customized packing’s and formats, offering solutions for the retail, food service market & ingredients for the manufacturing industry Specialized in Mediterranean flavor profiles, main product families are: All natural spices, seasonings All natural herbs, herbal blends and teas Dessert dry mixes Dressings and syrups Pulses, legumes and cereals Single use branded sachets","14 Arqam St ,Hai Nazal ,Amman ,Jordan ,11623 ,Jordan ",http://www.khudari.com
Aghati for Sweets & Ice Cream Co. Ltd.,Hall: Shk Rashid Hall Stand: R-228,"Aghati tells a story of our ancestors love of confectionery and continues their profession as confectioners to create an indulging experience for people in all of their occasions from East to West across the globe. Aghati proudly presents a top quality Mediterranean Sweets, Ice Cream products and Turkish Delights Lokum. All our products are made with top quality ingredients and crafted with the hands of the finest confectioners in Middle East. With our distinctive taste, we have proven ourselves to be market leaders in the region while our quality comes at its finest to fit every consumer's taste. MISSION We established Aghati to provide the highest quality of sweets to the lovers of the authentic taste of Mediterranean sweets and Ice cream and make them enjoy an unforgettable taste while maintaining the heritage of our ancestors who made this desert with love, joy and passion VISION As we serve our market with the highest quality of desert locally and globally, but also aim to expanding our reach through establishing many branches across the Middle East and Western countries as well. OBJECTIVE Strive to promote our Jordanian brand globally as we manufacture our products in the highest standards that compete with world top producers of Mediterranean Sweets & Ice Cream.","Waqqas St., Building No. 21 ,North Marka ,Jordan ",https://www.aghatisweets.com
