Name,Stand,Address,Website,Facebook,Instagram,Youtube,LinkedIn,Twitter,Description
Actiph Water,Hall: Shk Saeed Hall 1 Stand: S1-C51,United Kingdom ,,,,,,,
AdamzXtreme Pte Ltd,Hall: Za'abeel Plaza Stand: ZP-H21,"51 Goldhill Plaza #07-10/11 ,Singapore ,Singapore ,308900 ,Singapore ",,,,,,,"Adamz Extreme was established in January 2020 primarily to distribute Premium Halal Bosnian European beef & lamb that are GMO-free. It is offering a range of Premium European Breeds such as Black Angus, Limousine, Charolais, Simmental and Belgian Blue. The company's vision is HALALAN TOYIBBAN where the whole chain from animal feed till the meat products turn into burgers/ sausages/ kebabs are halal certified."
Acetificio Marcello De Nigris,Hall: Shk Saeed Hall 1 Stand: S1-F34,"S.S. Sannitica. 87 ,Caivano ,Na ,80023 ,Italy ",https://www.denigris1889.com/en/,https://www.facebook.com/denigris1889/,https://instagram.com/denigris1889?igshid=YmMyMTA2M2Y=,,https://www.linkedin.com/company/acetificio-marcello-de-nigris/,,"For over three generations our family has dedicated itself to the production of vinegar with passion and knowledge, in the tireless search for the best possible quality product. A story which began more than 120 years ago, when Armando De Nigris opened the first vinegar mill in Naples, immediately proving to be a great success with his clients. From passionate artisans to an international organisation, our company has always looked to the future, staying true to the family motto: “Boundaries do not exist”. From the lands of the Emilia-Romagna region to overseas markets, Balsamic Vinegar of Modena has taken its place as the Italian condiment par excellence. This success was consolidated over the years to follow, when the running of the company passed to his son Marcello, who succeeded in launching De Nigris’s products onto the international market and in widening the product range to include the prestigious Balsamic vinegar. A spirit of innovation that, thanks to the third generation of Master Vinegar Makers, still guides us today and allows us to offer our clients products of excellence, which are appreciated world-wide for their quality and creativity."
Acqua Minerale San Benedetto S.p.A.,Hall: Za'abeel Hall 1 Stand: Z2-D89,"Acqua Minerale San Benedetto S.p.A. ,Viale Kennedy, 65 ,Scorzè ,Venice ,30037 ,Italy ",https://www.sanbenedettofoodexcellence.com/en,https://www.facebook.com/SBenedettoWaters,https://www.instagram.com/sanbenedettowaters/,,,,"SAN BENEDETTO MINERAL WATER– FROM THE ROOTS TO THE SPRING. The story of Acqua Minerale San Benedetto begins on 10 April 1956 when, in the heart of the Park of the River Sile, the first facility of the Group was set up for bottling the mineral waters of Scorzè in the province of Venice: Fonte San Benedetto and Fonte Guizza. The company takes its name from the spring of the same name, which has been known since the times of the Venetian Republic as an ‘Ancient Spring of Health’, its waters much sought-after by Venetian families for its healing properties. San Benedetto soon grew from a small local producer into a company with a nationwide scope operating the length and breadth of Italy, with strong interests also beyond its national borders. Today, it is an ‘all embracing’ group with multiple specialisations and channels, that operates successfully in all segments of non-alcoholic beverages. The company has always upheld its verve for innovation, technology and service, product and process, thanks to which it has achieved leadership not only in numbers, but also in its ideas and their applications, which succeed in meeting the real needs of consumers. San Benedetto Group is the leading Italian-owned company in the market and it is active in over 100 Countries."
Acetificio Andrea Milano,Hall: Shk Saeed Hall 1 Stand: S1-E29,"Corso Protopisani, 91 ,Italy ",https://www.acetomilano.it/,https://www.facebook.com/AcetificioAndreaMilano,https://www.instagram.com/acetificioandreamilano/,https://www.youtube.com/@acetificioandreamilano3089,https://www.linkedin.com/company/acetificio-andrea-milano-srl/mycompany/,https://twitter.com/acetomilano,"The company “Acetificio Andrea Milano s.r.l.” was founded in 1889 and it is one of the main and oldest vinegar manufacturers. Since 1889, the vinegar factory Andrea Milano has refined the techniques of production without ever losing sight of the great Italian wine tradition. The first beech chipboard barrels have been replaced by modern acetifying machines, but nothing of the heritage of tradition and experience, matured over the last 100 years, had been sacrificed. Today the company has 3 production plants in Italy and exports its products in more than 65 countries worldwide."
Acarsan Makarna Un Gida Insaat San. Ve Tic. A.S.,Hall: Za'abeel Hall 5 Stand: Z5-B51,"3. Organize Sanayi Bolgesi ,Kamil Serbetci Bulvari No: 44 Baspinar Sehitkamil Gaziantep ,Gaziantep ,Turkey ",https://www.acarsan.com.tr,,,,,,"Acarsan Pasta Flour Food Construction Industry and Trade. Inc. was established in 1997 by Selim Acar and started its commercial life. Having one of the largest and most modern production facilities in Turkey, Acarsan Makarna Un Gida Insaat Sanayi ve Tic. Inc. started its operations in 2003 with a daily flour production with a capacity of 600 tons. In addition to the current capacity, in 2014. It reached a total capacity of 1850 tons per day, including 400 tons of pasta per day, 700 tons of semolina and 150 tons of instant noodle in 2016."
Acetaia Leonardi,Hall: Shk Saeed Hall 1 Stand: S1-F31,"ACETAIA LEONARDI SRL ,Via Mazzacavallo 62 ,Formigine ,Modena ,41043 ,Italy ",http://www.acetaialeonardi.it,http://www.facebook.com/acetaialeonardi,http://www.instagram.com/acetaialeonardi1871/,https://www.youtube.com/channel/UCiYwsP7s7C5bVO7bKSV1vmA,https://me.linkedin.com/company/acetaia-leonardi-s.r.l.,,"Leonardi is the Italian leader for traditional Balsamic Vinegar of Modena. It is all natural, preservative free, colouring free, alcohol free. A sweet-and-sour condiment of high quality with a refined packaging and many available flavours made from our own grapes. Everything is produced under the same facility, following traditional methods handed down for four generations by Leonardi family. The complete range includes Balsamic Vinegar of Modena IGP, Traditional Balsamic Vinegar of Modena DOP, Balsamic condiments (also flavoured), glazes and jams with Balsamic Vinegar, chocolates and cakes with Balsamic glaze and the stunning Balsamic PEARLS. To be enjoyed on salads, vegetables, seafood, cheeses, strawberries, ice-cream or for precious gifs... Leonardi also produces a high-quality Extra Virgin Olive oil to pair with his Balsamic Condiments, obtained from owned olive trees in Sicily. Private labels and Food service sizes available. BRC- IFS certified. SINCE 2018 a complete ORGANIC CERTIFIED RANGE is available. Acetaia Leonardi, artisan balsamic maker since 1871 welcomes you at Gulfood 2023 to taste our classics and new creations."
Aditya Trading Company,Hall: Za'abeel Hall 3 Stand: Z3-C35,"Arqam St. ,446 ,14 Arqam st.- Bader Area ,India ",http://www.khudari.com,,,,,,
Adalilar Kuruyemis Gida Tic Ve San Ltd Sti,Hall: Za'abeel Hall 4 Stand: Z4-B3,"Kozluk Mah Ada San Cad No 4 Erenler Sakarya Kozluk ,Turkey ",http://www.adalilar.com,,,,,,"Adalilar,founded in 1992,is a strong manufacturer of the EDIBLE NUTS such as sunflower seeds,hazelnut,pistachio,peanut etc. We are the pioneers in the improvement of the packet fresh nuts culturein Turkey and in the World through our experienced staff. We offer our quality products processed by high technology,filled with fresh and tasty ‘grains’,with our fabulos brands TANEM, FREEZO, ADAMIX, and some other Private Label Brands.With each brand, we provide special tastes solutions to meet different expectations. Our company produces daily around 800.000 packs in its manufacturing facility in Sakarya-TURKEY. We offer our products in a wide sales network,which goes over the Turkish market,reaching foreign markets from Africa to the Balkans and from Europe to Far East.For the purpose of processing natural edible nuts used in production to make it ready for end consumers,we established our new production facility on a total closed area of 6.000 square meters in 2012 with high technology,we suport our success and Works with high technology machinery line and certificates such as ISO 9001, ISO 22000(HACCP), which have validity on international platforms,with the new production facility we reached to our main aim that is “hygiene”, as a policy the production and the packaging are must be carried out untouched and under strictly hygienic conditions. With this new facility ADALILAR is aiming to transform its existing industrial know-how into future investments and is a candidate of becoming one of the most advanced facility of Turkey in the industry.We belive that the excitement which started with te first “ADALILAR/TANEM” branded retail shops launched in begining of 1997 in Sakarya will merge with the new production and inevestment areas to carry us to new successess."
Adnan Khudari & Sons trading Co.,Hall: Shk Rashid Hall Stand: R-145,"14 Arqam St ,Hai Nazal ,Amman ,Jordan ,11623 ,Jordan ",http://www.khudari.com,,,,,,"Family-owned food manufacturing and packaging company based in Jordan Founded in 1979, run by the 3rd generation, generating income for over 130 Jordanian families We have 30+ years’ experience in exporting white label products, reaching 45 countries worldwide, the USA being our #1 export market, adding value to 18 different brands in the USA alone Market leader in our categories in Jordan, the first company to introduce spices in retail packages in Jordan Producing a wide range of food products in customized packing’s and formats, offering solutions for the retail, food service market & ingredients for the manufacturing industry Specialized in Mediterranean flavor profiles, main product families are: All natural spices, seasonings All natural herbs, herbal blends and teas Dessert dry mixes Dressings and syrups Pulses, legumes and cereals Single use branded sachets"
ADCO Prime General Trading LLC,Hall: Za'abeel Hall 4 Stand: Z4-B17,"Office 207, 2nd Floor, Al Fajar Building Opp. Al Ras Metro Station, Al Ras ,Deira ,12748 ,United Arab Emirates ",https://www.adcoprime.com,,,,,,
Adonara Agro,Hall: Shk Saeed Hall 2 Stand: S2-D34,"Zaliznichne roadway, 47 ,Kyiv ,Kyiv Region ,Ukraine ",https://adonara.com.ua,,,,,,
Aedi S.r.l. - Riso Morgante,Hall: Za'abeel Hall 1 Stand: Z4-G15,"Via Ghislarengo, 19 ,LENTA ,VERCELLI ,13035 ,Italy ",https://www.risomorgante.com,,,,,,"AEDI’ SRL - Riso Morgante is a family run rice mill established in Lenta, Italy over 60 years ago. We are specialists in the milling of various types of rice such as Baldo, Loto, S. Andrea, Arborio to mention only some. We provide various types of packaging ranging from 1 kg to 25 kg bags and big bags. Our certification includes HACCP, AEOF HALAL."
Aegan International DMCC,Hall: Za'abeel Hall 6 Stand: Z6-D40,"P. O Box 337533 ,1203, Indigo Icon Tower, Cluster F ,Jumeirah Lakes Tower ,Dubai ,United Arab Emirates ",https://www.aegangroup.com,,,,,,
AEV Oil,Hall: Za'abeel Hall 1 Stand: Z1-G51,"SHED 06, JIMMA INDUSTRY PARK (JIP) BOCHE BARE 07 JIMMA TOWN, SUB ,Ethiopia ",https://www.aevoafrica.com,,,,,,
Aegean Fishery And Animal Products Exporters Association,Hall: Shk Maktoum Hall Stand: M-A16,"Ataturk Cad. No: 382, Alsancak ,Izmir ,Turkey ",http://www.eib.org.tr,,,,,,
Afro Asian Foodstuff LLC,Hall: Concourse 1 Stand: CC3-42,"Shop No. 3, Al Ras ,Deira ,United Arab Emirates ",https://www.afroasianfood.com,,,,,,"Afro Asian Foodstuff LLC is a whole sale importer in UAE, and key players in the GCC commodity market. The company has grown exponentially under the forward-thinking leadership of a group of entrepreneurs who shared a common objective and vision. Company supplies raw materials to some of the biggest food and beverage brands across the globe. With worldwide connectivity and its seamlessly integrated operations and services, the group has successfully designed, developed and commercially exported wide range of products and services to most parts of the world."
Afcom Trading DMCC,Hall: Za'abeel Hall 6 Stand: Z6-B17,"PO Box 392183 ,Unit 701 Gold Crest Executive ,Jumeirah Lake Towers ,Dubai ,United Arab Emirates ",,,,,,,
Africa Marketing LLP,Hall: Za'abeel Hall 3 Stand: Z3-E7,"4 Battery Road # 25-01 Bank of China Building ,Singapore ,Singapore ",http://www.africamarketing.com.sg,,,,,,
Adroit Overseas Enterprises Ltd,Hall: Za'abeel Hall 4 Stand: Z4-H33,"Unit 210, 9639 137A Street ,vancouver ,canada ,V3T 0M1 ,Canada ",https://www.adroitoverseas.com,,,https://www.youtube.com/watch?v=OHfizknIuXM&t=2s,https://www.linkedin.com/company/adroit-overseas-pte-ltd/,,"Adroit Overseas is a multinational agro commodities processor, trader, exporter, dealing in all type of pulses, grains, oilseeds and feed products worldwide. Together with our suppliers and buyers, we source products from farmers, processors, local suppliers, we market & deliver commodities physically to our buyers, importers, processors, wholesalers and retailers all around the world. Being active at every stage of supply chain from local procurement, extensive logistics, export operations to deliver, import, storage and distribution, we maximize value for our trade partners. Strategically placed in every continent from North to South America, going east to Asia covering Middle East and Africa and Indian subcontinent. We get huge benefits and arbitrage opportunities which help us serve our customers by offer highly competitive prices along with variety of products from different origins."
Agency of International Communication LLC,Hall: Al Mustaqbal Plaza Stand: HP-E2 HP-155,"Akademicheskaya B Dom 4, apart 23 ,Moscow ,United Arab Emirates ",https://www.amcprogress.ru,,,,,,
Agrico International DMCC,Hall: Za'abeel Hall 4 Stand: Z4-140,"1008 - Gold Crest Executive ,Jumeirah Lakes Towers - Cluster C ,Dubai ,United Arab Emirates ",https://www.agricointl.com,,https://www.instagram.com/agricointl/,,https://www.linkedin.com/company/agrico-international/,,"AGRICO International is a leading home-grown company that originates, sources, manages and distributes agro-commodities through a sustainable supply chain system. With a keen eye for opportunities and vast experience across multiple regions, the company specializes in facilitating partnerships and movement of goods swiftly. Leveraging its strategic location and vast network, AGRICO provides the finest quality produce sourced from the farms and manufacturers across the world. The company provides the finest livestock raw materials, food grains, and end-to-end supply chain management to a range of high-profile customers and government entities. Bringing over a decade of expertise and knowledge, AGRICO works closely with various stakeholders and caters to the needs of farmers, manufacturers, and retailers. With an acute realization and understanding of agriculture, farming and logistics, AGRICO works as an intermediary to facilitate partnerships between its clients in the MEA and SEA region and suppliers across the world."
AGUS,Hall: Shk Saeed Hall 1 Stand: S1-M13,"Al. Jana Pawla II 22 ,Warsaw ,Poland ",https://www.AgusGlobal.com,,,,,,
AGUS,Hall: Hall 2 Stand: C2-44,"Al. Jana Pawla II 22 ,Warsaw ,Poland ",https://www.AgusGlobal.com,,,,,,
Agri Global INC.,Hall: Za'abeel Hall 5 Stand: Z5-F62,"614-A, 6th Floor, D-Mall, ,Netaji Subash Place, Pitampura ,New Delhi ,India ",https://www.agriglobalinc.com,https://www.facebook.com/Agriglobalinc,,,https://www.linkedin.com/company/agri-global-inc-india/,,"We would like to introduce our company AGRI GLOBAL INC. one of the leading Government of India Recognized 2 STAR EXPORT HOUSE. AGRI GLOBAL INC., is one of the leading Indian companies established in 2008 and specialized in processing, manufacturing and exporting of Indian Rice.Company having our own Rice Processing Plants in Haryana and Punjab installed with latest STATE OF ART Machineries with a huge quantity production capacity daily basis directly from paddy, also we have the packaging unit in Gandhidham, Gujarat, India. We are popularizing Indian Rice throughout the world. Our vision is to introduce quality Indian Rice to existing local as well as new international markets.We have different types of products on our portfolio, with different varieties of Rice with different packaging options available. The company is ISO, HACCP; APEDA certified and accredited the highest quality mark by Indian Standards Organization.We supply our Products in our brand (Sultan Crown and Malika E Hind) as well as buyers' brands all over the world. We supply our products to many countries....like Iraq, Turkey, Oman, Kuwait, Israel, Palestine, Bahrain, Saudi, Azerbaijan, Egypt, Yemen, Lebanon, Turkmenistan, UAE, Comoros, Morocco, Somalia, Benin, Kenya, Mauritania, Angola, South Africa……and many more."
